articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
10-7-2014_PS,0.851,0.852,mean,0.11750881316098719,MINOR_ERROR,NA
10-7-2014_PS,0.528,0.528,sd,0,MATCH,NA
10-7-2014_PS,0.654,0.654,mean,0,MATCH,NA
10-7-2014_PS,0.488,0.489,sd,0.20491803278688542,MINOR_ERROR,NA
10-7-2014_PS,0.703,0.704,mean,0.14224751066856345,MINOR_ERROR,NA
10-7-2014_PS,0.594,0.594,sd,0,MATCH,NA
10-7-2014_PS,0.773,0.774,mean,0.1293661060802071,MINOR_ERROR,NA
10-7-2014_PS,0.583,0.583,sd,0,MATCH,NA
10-7-2014_PS,4.22,4.22,F,0,MATCH,NA
10-7-2014_PS,0.041,0.041,p,0,MATCH,NA
10-7-2014_PS,0.014,0.015,pes,7.142857142857137,MINOR_ERROR,NA
10-7-2014_PS,0.387,0.387,d,0,MATCH,NA
10-7-2014_PS,0.027,0.027,p,0,MATCH,NA
10-7-2014_PS,<1.0,0.4687584712545111,F,NA,MATCH,TRUE
